psi,s2,q2,s3,q3,rho,tE,cad,bin_box,planet_box,contour_threshold,alpha_density,n_pot
60.0,0.2,0.925,0.6822222222222223,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,0.6822222222222223,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,0.7277777777777779,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,0.7277777777777779,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,0.7277777777777779,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,0.7277777777777779,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,0.7733333333333333,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,0.7733333333333333,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,0.7733333333333333,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,0.7733333333333333,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,0.8188888888888889,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,0.8188888888888889,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,0.8188888888888889,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,0.8188888888888889,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,0.8644444444444445,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,0.8644444444444445,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,0.8644444444444445,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,0.8644444444444445,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,0.91,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,0.91,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,0.91,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,0.91,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,1.2,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,1.2,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,1.2,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
